Position,Track Name,Artist,BPM,Duration,Quality,Phase,Function
1,"Sweep The Floor","Joris Voorn",128,6:45,5.0,Warm-Up,Opener - Establish groove
2,"Shine","Super Flu",125,5:50,5.0,Warm-Up,Introduce melody
3,"Party in Chicago","Paco Osuna",126,6:10,5.0,Warm-Up,Energize and transition
4,"Jesus Creates Sound (Main Mix)","Marlon D",127,6:30,5.0,Build Phase,Introduce high frequencies
5,"Pullpush","Gaiser",128,7:15,5.0,Build Phase,Drive momentum
6,"Chase The Mouse","Joris Voorn",126,6:50,5.0,Build Phase,Introduce tension
7,"Confronted","Pan-Pot",128,7:00,5.0,Build Finale,Peak of first build
8,"The Sky Was Pink (Holden Remix)","Nathan Fake",127,6:45,5.0,Peak Phase,Sustain peak energy
9,"Murder (Original Mix)","Paul Ritch",127,7:20,5.0,Peak Phase,Maintain intensity
10,"You Got Good Ash (Gabriel Ananda Remix)","Marek Bois",128,6:55,5.0,Peak Phase,Maintain groove
11,"Love Dose (Luciano Remix)","Argy",128,7:10,5.0,Peak Phase,Build to climax
12,"House Music (Message Mix)","Eddie Amador",128,6:30,5.0,Peak Finale,All-out peak energy
13,"Tokyo (Original Mix)","Federico Grazzini",122,6:25,5.0,Breakdown,Release tension
14,"Manipulation (Original Mix)","Johnny D",126,7:05,5.0,Comeback,Rebuild energy
15,"Bloody Cash (Original Mix)","Marco Carola",128,7:40,5.0,Finale,Final climax
